Format Version,1.23,Take Name,C2_D_1,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2026-07-07 03.39.08.539 PM,Capture Start Frame,534242,Total Frames in Take,5548,Total Exported Frames,5548,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1232,Unlabeled 1232,Unlabeled 1232,Unlabeled 1233,Unlabeled 1233,Unlabeled 1233,Unlabeled 1234,Unlabeled 1234,Unlabeled 1234,Unlabeled 1235,Unlabeled 1235,Unlabeled 1235,Unlabeled 1236,Unlabeled 1236,Unlabeled 1236,Unlabeled 1237,Unlabeled 1237,Unlabeled 1237,Unlabeled 1238,Unlabeled 1238,Unlabeled 1238,Unlabeled 1239,Unlabeled 1239,Unlabeled 1239,Unlabeled 1240,Unlabeled 1240,Unlabeled 1240,Unlabeled 1241,Unlabeled 1241,Unlabeled 1241,Unlabeled 1242,Unlabeled 1242,Unlabeled 1242,Unlabeled 1243,Unlabeled 1243,Unlabeled 1243,Unlabeled 1244,Unlabeled 1244,Unlabeled 1244,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245
,ID,"E76BD1704B67A0B11F1","E76BD1704B67A0B11F1","E76BD1704B67A0B11F1","E77BD1704B67A0B11F1","E77BD1704B67A0B11F1","E77BD1704B67A0B11F1","E7ABD1704B67A0B11F1","E7ABD1704B67A0B11F1","E7ABD1704B67A0B11F1","E7CBD1704B67A0B11F1","E7CBD1704B67A0B11F1","E7CBD1704B67A0B11F1","E7EBD1704B67A0B11F1","E7EBD1704B67A0B11F1","E7EBD1704B67A0B11F1","E7FBD1704B67A0B11F1","E7FBD1704B67A0B11F1","E7FBD1704B67A0B11F1","E85BD1704B67A0B11F1","E85BD1704B67A0B11F1","E85BD1704B67A0B11F1","EAEBD1704B67A0B11F1","EAEBD1704B67A0B11F1","EAEBD1704B67A0B11F1","F2ABD1704B67A0B11F1","F2ABD1704B67A0B11F1","F2ABD1704B67A0B11F1","F2FBD1704B67A0B11F1","F2FBD1704B67A0B11F1","F2FBD1704B67A0B11F1","F31BD1704B67A0B11F1","F31BD1704B67A0B11F1","F31BD1704B67A0B11F1","F32BD1704B67A0B11F1","F32BD1704B67A0B11F1","F32BD1704B67A0B11F1","F33BD1704B67A0B11F1","F33BD1704B67A0B11F1","F33BD1704B67A0B11F1","F34BD1704B67A0B11F1","F34BD1704B67A0B11F1","F34BD1704B67A0B11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,256.401306,257.033173,85.406586,250.746735,209.843140,85.978989,323.481903,254.829163,86.515465,315.116974,206.671463,85.241638,264.166718,169.272308,84.954224,290.314087,256.577209,85.956184,329.092590,207.408157,86.409042,266.253998,208.811996,86.090401,315.998138,169.305786,85.680763,,,,,,,,,,,,,,,
1,0.005000,256.399170,257.026611,85.412201,250.753647,209.835266,85.978424,323.473663,254.834061,86.515327,314.663574,207.252930,85.696320,264.167419,169.261200,84.955109,290.311646,256.572693,85.956543,329.083099,207.501404,86.490326,266.258911,208.827438,85.976669,315.998108,169.299866,85.680763,,,,,,,,,,,,,,,
2,0.010000,256.541412,256.995544,85.411415,250.745804,209.841476,85.977737,322.839233,255.267746,86.991936,314.379913,207.342148,85.798851,264.143860,169.289551,84.854103,290.312683,256.574799,85.959549,329.083344,207.410660,86.398125,266.133392,208.891495,86.122871,315.996429,169.301178,85.677216,,,,,,,,,,,,,,,
3,0.015000,256.409332,257.034393,85.412720,250.751190,209.841263,85.979813,323.465118,254.887878,86.590782,314.382019,207.178955,85.598114,264.139069,169.292572,84.821854,290.310913,256.575043,85.958893,329.075195,207.398300,86.391281,266.297424,208.772324,86.092918,316.022064,169.304733,85.649757,,,,,,,,,,,,,,,
4,0.020000,256.502136,256.872192,85.246857,250.706314,209.878372,85.922455,323.473907,254.833099,86.501564,314.439117,207.188599,85.735703,264.158386,169.255951,84.946121,290.309265,256.578217,85.958115,329.074036,207.396500,86.392479,266.307648,208.655716,86.056564,315.998260,169.295685,85.677422,,,,,,,,,,,,,,,
5,0.025000,256.396271,256.965973,85.378380,250.750626,209.841202,85.980194,323.485565,254.827316,86.507805,314.494812,207.304474,85.761131,264.152008,169.296814,84.878899,290.312347,256.573120,85.959328,329.094635,207.511703,86.489326,266.294647,208.706009,86.001747,315.996765,169.294006,85.682938,,,,,,,,,,,,,,,
6,0.030000,256.403503,257.022705,85.404381,250.758682,209.843399,85.977158,323.473480,254.850204,86.521965,314.489227,207.139359,85.556557,264.159973,169.261765,84.948730,290.313110,256.574097,85.956345,329.222443,207.630310,86.638893,266.373657,208.613297,85.934631,315.998627,169.300095,85.681366,,,,,,,,,,,,,,,
7,0.035000,256.398590,257.027191,85.409622,250.743988,209.843094,85.983452,323.468323,254.851166,86.528046,314.484039,207.313217,85.751122,264.145386,169.299042,84.856934,290.309845,256.571411,85.957352,329.243378,207.658218,86.679680,266.303925,208.685364,85.965919,315.998627,169.298691,85.685173,,,,,,,,,,,,,,,
8,0.040000,256.403412,257.023529,85.405472,250.749588,209.847702,85.981010,323.330322,255.179764,86.616646,314.472198,207.145081,85.557343,264.223541,169.189331,85.041756,290.310516,256.578644,85.956474,329.232941,207.563873,86.593079,266.439667,208.197739,85.692833,315.996094,169.306458,85.679688,,,,,,,,,,,,,,,
9,0.045000,256.401367,257.028381,85.405029,250.743027,209.845398,85.979225,323.462036,254.880157,86.543999,314.480377,207.312317,85.753265,264.177551,169.282608,85.014145,290.309113,256.576050,85.959190,329.219818,207.537720,86.557632,266.350586,208.579041,85.861046,315.996948,169.301956,85.675224,,,,,,,,,,,,,,,
10,0.050000,256.501709,256.880005,85.255577,250.749527,209.843063,85.977219,323.477509,254.825027,86.525291,314.492126,207.311966,85.753693,264.145538,169.302811,84.863190,290.311218,256.571472,85.955948,329.096222,207.411942,86.407951,266.113525,208.959503,86.201225,315.997284,169.302429,85.681442,,,,,,,,,,,,,,,
11,0.055000,256.431549,257.113617,85.540001,250.705063,209.883698,85.918655,323.471283,254.838821,86.518448,314.484283,207.128616,85.549004,264.153900,169.251160,84.925583,290.313995,256.565613,85.955688,329.092621,207.492661,86.488762,266.180359,208.952652,86.228844,315.995880,169.293060,85.678535,,,,,,,,,,,,,,,
12,0.060000,256.542053,256.995850,85.421616,250.698303,209.875549,85.918045,323.469421,254.843887,86.519661,314.468353,207.162704,85.722313,264.168671,169.263794,84.970116,290.312012,256.573547,85.958458,329.085358,207.415955,86.398605,266.307526,208.744049,86.067314,316.022583,169.303391,85.645256,,,,,,,,,,,,,,,
13,0.065000,256.541016,256.992584,85.412857,250.704819,209.874374,85.920349,323.469666,254.842102,86.518494,314.476013,207.308533,85.758545,264.143860,169.297592,84.865158,290.306519,256.574646,85.959511,329.078491,207.404724,86.377930,266.321716,208.625366,86.019600,315.999573,169.293655,85.674675,,,,,,,,,,,,,,,
14,0.070000,256.503632,256.878448,85.257561,250.762039,209.888321,86.039185,323.472687,254.845947,86.515350,314.428680,207.119095,85.565491,264.138184,169.297379,84.824104,290.314819,256.571747,85.952171,329.073334,207.412033,86.387726,266.280060,208.450134,85.730888,315.999847,169.302292,85.675423,,,,,,,,,,,,,,,
15,0.075000,256.501007,256.838440,85.228157,250.706757,209.879105,85.919708,323.467621,254.848129,86.519081,314.463135,207.326752,85.750328,264.153931,169.256516,84.920456,290.309784,256.573761,85.956558,329.081207,207.412582,86.389038,266.337158,208.558624,85.918625,315.995270,169.303162,85.674011,,,,,,,,,,,,,,,
16,0.080000,256.504456,256.848846,85.241623,250.743179,209.842957,85.975647,323.471771,254.852081,86.523224,314.518250,207.178299,85.698540,264.143707,169.304337,84.865761,290.310913,256.569336,85.955757,329.091797,207.515411,86.495895,266.444641,208.184891,85.702835,315.999237,169.303635,85.677292,,,,,,,,,,,,,,,
17,0.085000,256.399841,257.003387,85.387543,250.869003,209.849167,85.800392,323.471161,254.840347,86.524704,314.513031,207.300110,85.744385,264.148041,169.303802,84.837685,290.308472,256.574097,85.962135,329.216003,207.548264,86.556480,266.578491,208.440109,85.684639,316.018188,169.309937,85.655319,,,,,,,,,,,,,,,
18,0.090000,256.504059,256.883148,85.258690,250.790833,209.833298,85.962204,323.461670,254.847351,86.530075,314.482086,207.144028,85.549934,264.140717,169.299210,84.832108,290.308594,256.580902,85.961273,329.235260,207.549500,86.582748,266.336823,208.583160,85.976456,316.004425,169.298141,85.674805,,,,,,,,,,,,,,,
19,0.095000,256.540436,256.996094,85.406143,250.757187,209.880203,86.042450,323.471008,254.844162,86.519402,314.458160,207.171112,85.729897,264.160522,169.256104,84.943878,290.309082,256.573517,85.958107,329.228546,207.544006,86.567772,266.253357,208.526855,85.828354,316.001099,169.295517,85.676094,,,,,,,,,,,,,,,
20,0.100000,256.544586,257.002411,85.419312,250.743301,209.836899,85.978302,323.478516,254.843979,86.516335,314.473755,207.313034,85.763649,264.152557,169.291153,84.869659,290.309662,256.573486,85.951912,329.226318,207.532639,86.552170,266.289307,208.728470,85.831406,316.019104,169.302246,85.650185,,,,,,,,,,,,,,,
21,0.105000,256.441406,257.113281,85.540321,250.747589,209.838882,85.974037,323.480530,254.839844,86.519348,314.495178,207.310043,85.747330,264.156097,169.258255,84.942856,290.307587,256.575928,85.953835,329.225159,207.622375,86.633682,266.134369,208.884445,86.119133,316.002075,169.297165,85.669312,,,,,,,,,,,,,,,
22,0.110000,256.506683,256.892212,85.264999,250.752365,209.841476,85.975700,322.974335,254.923019,86.901772,314.504517,207.308365,85.741783,264.237762,169.160095,85.048607,290.306335,256.572510,85.961205,329.229156,207.642258,86.657524,266.228363,208.840134,86.202538,315.993805,169.297012,85.676682,,,,,,,,,,,,,,,
23,0.115000,256.505188,256.825409,85.225349,250.711716,209.884659,85.927040,323.462311,254.868210,86.563454,314.504059,207.310135,85.744843,264.181183,169.279373,84.997078,290.311676,256.578125,85.959183,329.234711,207.649033,86.655579,266.268768,208.777557,86.068214,316.018738,169.309708,85.651405,,,,,,,,,,,,,,,
24,0.120000,256.432434,257.124298,85.536949,250.740204,209.839203,85.975571,323.462891,254.850388,86.501793,314.500336,207.306870,85.743355,264.168304,169.264374,84.963036,290.309540,256.574738,85.955750,329.230194,207.638779,86.651642,266.374054,208.607437,85.936111,315.994202,169.304642,85.674355,,,,,,,,,,,,,,,
25,0.125000,256.449554,257.133301,85.550537,250.755188,209.851379,85.978424,323.466858,254.848480,86.516899,314.477539,207.132828,85.544495,264.134949,169.300980,84.850586,290.309631,256.575562,85.957390,329.230621,207.549408,86.577560,266.449799,208.176971,85.672493,316.015381,169.307037,85.658035,,,,,,,,,,,,,,,
26,0.130000,256.445221,257.122375,85.541878,250.704651,209.878723,85.920082,323.468384,254.848389,86.528801,314.474304,207.317352,85.749832,264.130188,169.301071,84.827530,290.308075,256.578522,85.956688,329.219910,207.533646,86.549164,266.153168,208.812119,86.038239,315.993103,169.300751,85.678413,,,,,,,,,,,,,,,
27,0.135000,256.534912,257.000092,85.413193,250.743896,209.851120,85.980049,323.459839,254.854233,86.523422,314.490784,207.315079,85.751205,264.155945,169.262207,84.940247,290.308136,256.578613,85.954803,329.212860,207.541534,86.551666,266.239227,208.874924,86.150993,316.000336,169.297791,85.677940,,,,,,,,,,,,,,,
28,0.140000,256.506989,256.865021,85.244659,250.753967,209.839279,85.974602,323.478088,254.841980,86.511398,314.494415,206.900803,85.465050,264.170349,169.262192,84.960724,290.308075,256.580536,85.953941,329.218811,207.536392,86.552689,266.244293,208.830429,86.113083,316.000305,169.290817,85.676865,,,,,,,,,,,,,,,
29,0.145000,256.389648,256.969086,85.364502,250.755661,209.847733,85.973549,323.482666,254.836533,86.512268,314.517700,207.115463,85.680351,264.172180,169.263016,84.967300,290.304199,256.578735,85.954575,329.226410,207.528702,86.557617,266.298676,208.680908,86.065460,316.018585,169.301544,85.648453,,,,,,,,,,,,,,,
30,0.150000,256.500916,256.872223,85.249321,250.753647,209.835266,85.976288,323.452667,254.844727,86.526543,314.504791,206.900116,85.464447,264.169434,169.270248,84.970062,290.307068,256.573730,85.958382,329.220459,207.534821,86.560356,266.309021,208.694260,85.986153,315.998260,169.294724,85.672508,,,,,,,,,,,,,,,
31,0.155000,256.400665,256.989075,85.382629,250.746841,209.844589,85.974953,323.466614,254.849106,86.519623,314.482666,207.310303,85.747635,264.140167,169.301636,84.862747,290.306976,256.574493,85.955696,329.214661,207.539948,86.559502,266.362091,208.629288,85.908295,316.017273,169.306946,85.654175,,,,,,,,,,,,,,,
32,0.160000,256.501068,256.879272,85.256104,250.750900,209.841461,85.983055,323.469147,254.848831,86.515106,314.491730,207.309082,85.750259,264.154053,169.255005,84.939163,290.306213,256.577881,85.958694,329.220459,207.541336,86.553413,266.306396,208.674927,85.960350,315.998535,169.294586,85.678688,,,,,,,,,,,,,,,
33,0.165000,256.540436,257.003418,85.407402,250.754211,209.842194,85.978775,323.467590,254.849487,86.517578,314.482727,207.138824,85.546822,264.148010,169.304840,84.859962,290.309174,256.577515,85.961357,329.225159,207.631119,86.632751,266.307190,208.661682,86.048607,315.995422,169.303909,85.683182,,,,,,,,,,,,,,,
34,0.170000,256.412109,257.052917,85.420593,250.750809,209.843674,85.977753,323.476532,254.849167,86.520035,314.484039,207.315323,85.748123,264.159790,169.261673,84.940964,290.309570,256.573944,85.955383,329.232178,207.564667,86.586548,266.287689,208.731613,86.027832,315.994019,169.304672,85.687782,,,,,,,,,,,,,,,
35,0.175000,256.399261,257.033264,85.404907,250.753098,209.846390,85.973473,323.478546,254.840012,86.526726,314.498566,207.305939,85.745201,264.148926,169.312851,84.870674,290.304871,256.577179,85.959167,329.220978,207.535034,86.553261,266.359772,208.628662,85.955139,315.997925,169.300720,85.681206,,,,,,,,,,,,,,,
36,0.180000,256.439240,257.117249,85.540611,250.708344,209.875092,85.921921,323.473480,254.846008,86.523422,314.448456,207.165359,85.741890,264.141052,169.305115,84.837257,290.309631,256.579224,85.960350,329.215668,207.535263,86.545586,266.390656,208.571182,85.905640,316.002930,169.297729,85.677467,,,,,,,,,,,,,,,
