time_s,arduino_ms,rx_ohm,delta_r,raw_line
0.0185908,321563,232.45,-0.836,"DATA,321563,232.450,-0.836"
0.0526547,321613,232.451,-0.835,"DATA,321613,232.451,-0.835"
0.1669594,321663,232.469,-0.818,"DATA,321663,232.469,-0.818"
0.1680265,321713,232.452,-0.834,"DATA,321713,232.452,-0.834"
0.2038176,321763,232.482,-0.804,"DATA,321763,232.482,-0.804"
0.2527076,321813,232.467,-0.82,"DATA,321813,232.467,-0.820"
0.3030209,321863,232.5,-0.787,"DATA,321863,232.500,-0.787"
0.3530902,321913,232.448,-0.839,"DATA,321913,232.448,-0.839"
0.402785,321963,232.482,-0.804,"DATA,321963,232.482,-0.804"
0.4528409,322013,232.458,-0.828,"DATA,322013,232.458,-0.828"
0.5029234,322063,232.482,-0.804,"DATA,322063,232.482,-0.804"
0.5527817,322113,232.462,-0.825,"DATA,322113,232.462,-0.825"
0.6082531,322163,232.46,-0.827,"DATA,322163,232.460,-0.827"
0.652595,322213,232.443,-0.843,"DATA,322213,232.443,-0.843"
0.7036482,322263,232.475,-0.812,"DATA,322263,232.475,-0.812"
0.7545526,322313,232.455,-0.832,"DATA,322313,232.455,-0.832"
0.8044922,322363,232.316,-0.97,"DATA,322363,232.316,-0.970"
0.8537071,322413,232.426,-0.86,"DATA,322413,232.426,-0.860"
0.9029093,322463,232.462,-0.825,"DATA,322463,232.462,-0.825"
0.9543932,322513,232.414,-0.873,"DATA,322513,232.414,-0.873"
1.0026871,322563,232.274,-1.013,"DATA,322563,232.274,-1.013"
1.0537243,322613,232.431,-0.855,"DATA,322613,232.431,-0.855"
1.1085397,322663,232.441,-0.846,"DATA,322663,232.441,-0.846"
1.1561286,322713,232.449,-0.837,"DATA,322713,232.449,-0.837"
1.2035628,322763,232.409,-0.878,"DATA,322763,232.409,-0.878"
1.2529089,322813,232.441,-0.846,"DATA,322813,232.441,-0.846"
1.3025951,322863,232.458,0.017,"DATA,322863,232.458,0.017"
1.3531442,322913,232.459,0.018,"DATA,322913,232.459,0.018"
1.4037367,322963,232.475,0.034,"DATA,322963,232.475,0.034"
1.4526954,323013,232.422,-0.019,"DATA,323013,232.422,-0.019"
1.5033566,323063,232.484,0.043,"DATA,323063,232.484,0.043"
1.5537283,323113,232.432,-0.009,"DATA,323113,232.432,-0.009"
1.6060609,323163,232.466,0.025,"DATA,323163,232.466,0.025"
1.6526519,323213,232.444,0.004,"DATA,323213,232.444,0.004"
1.7044973,323263,232.429,-0.012,"DATA,323263,232.429,-0.012"
1.7536919,323313,232.441,0,"DATA,323313,232.441,0.000"
1.8034097,323363,232.431,-0.009,"DATA,323363,232.431,-0.009"
1.8536411,323413,232.476,0.036,"DATA,323413,232.476,0.036"
1.9037225,323463,232.452,0.011,"DATA,323463,232.452,0.011"
1.9543629,323513,232.394,-0.047,"DATA,323513,232.394,-0.047"
2.0029203,323563,232.451,0.01,"DATA,323563,232.451,0.010"
2.0530886,323613,232.446,0.005,"DATA,323613,232.446,0.005"
2.1026743,323663,232.475,0.035,"DATA,323663,232.475,0.035"
2.152991,323713,232.356,-0.085,"DATA,323713,232.356,-0.085"
2.2078172,323763,232.457,0.017,"DATA,323763,232.457,0.017"
2.252627,323813,232.446,0.005,"DATA,323813,232.446,0.005"
2.3026269,323863,232.475,0.034,"DATA,323863,232.475,0.034"
2.3527616,323913,232.293,-0.148,"DATA,323913,232.293,-0.148"
2.4034197,323963,232.449,0.008,"DATA,323963,232.449,0.008"
2.4534005,324013,232.45,0.01,"DATA,324013,232.450,0.010"
2.5031277,324063,232.45,0.01,"DATA,324063,232.450,0.010"
2.5543616,324113,232.345,-0.096,"DATA,324113,232.345,-0.096"
2.6028434,324163,232.426,-0.015,"DATA,324163,232.426,-0.015"
2.652948,324213,232.392,-0.048,"DATA,324213,232.392,-0.048"
2.7027852,324263,232.45,0.01,"DATA,324263,232.450,0.010"
2.7559602,324313,232.401,-0.04,"DATA,324313,232.401,-0.040"
2.8035463,324363,232.43,-0.011,"DATA,324363,232.430,-0.011"
2.8528645,324413,232.425,-0.016,"DATA,324413,232.425,-0.016"
2.9035197,324463,232.455,0.015,"DATA,324463,232.455,0.015"
2.95262,324513,232.429,-0.012,"DATA,324513,232.429,-0.012"
3.0043642,324563,232.436,-0.004,"DATA,324563,232.436,-0.004"
3.0528541,324613,232.454,0.013,"DATA,324613,232.454,0.013"
3.1029893,324663,232.431,-0.009,"DATA,324663,232.431,-0.009"
3.1542069,324713,232.407,-0.034,"DATA,324713,232.407,-0.034"
3.2028621,324763,232.466,0.025,"DATA,324763,232.466,0.025"
3.2528774,324813,232.455,0.015,"DATA,324813,232.455,0.015"
3.3035807,324863,232.475,0.034,"DATA,324863,232.475,0.034"
3.358108,324913,232.443,0.002,"DATA,324913,232.443,0.002"
3.4034991,324963,232.44,-0.001,"DATA,324963,232.440,-0.001"
3.4532796,325013,232.442,0.001,"DATA,325013,232.442,0.001"
3.5035853,325063,232.385,-0.055,"DATA,325063,232.385,-0.055"
3.5526174,325113,232.429,-0.012,"DATA,325113,232.429,-0.012"
3.6040887,325163,232.436,-0.005,"DATA,325163,232.436,-0.005"
3.6536781,325213,232.403,-0.038,"DATA,325213,232.403,-0.038"
3.7033242,325263,232.287,-0.154,"DATA,325263,232.287,-0.154"
3.7528819,325313,232.463,0.023,"DATA,325313,232.463,0.023"
3.8047368,325363,232.423,-0.018,"DATA,325363,232.423,-0.018"
3.8529004,325413,232.425,-0.016,"DATA,325413,232.425,-0.016"
3.9060903,325463,232.322,-0.119,"DATA,325463,232.322,-0.119"
3.9536698,325513,232.43,-0.01,"DATA,325513,232.430,-0.010"
4.0027496,325563,232.435,-0.006,"DATA,325563,232.435,-0.006"
4.0529901,325613,232.45,0.01,"DATA,325613,232.450,0.010"
4.1030908,325663,232.469,0.028,"DATA,325663,232.469,0.028"
4.1536945,325713,232.526,0.086,"DATA,325713,232.526,0.086"
4.2030226,325763,232.605,0.164,"DATA,325763,232.605,0.164"
4.2530633,325813,232.528,0.087,"DATA,325813,232.528,0.087"
