Format Version,1.23,Take Name,C22_F_5,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2026-07-09 10.06.40.803 AM,Capture Start Frame,120210,Total Frames in Take,7364,Total Exported Frames,7364,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.030000,327.030853,213.170547,86.286072,261.680664,175.038757,85.195053,248.195724,213.746155,85.276955,255.423279,261.403992,85.418488,264.164276,212.742523,84.838287,311.495270,211.518173,85.654060,320.883881,261.071259,86.779861,288.159973,261.225525,85.760696,313.273193,173.767593,86.500366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.035000,327.023621,213.174194,86.292435,261.679626,175.040253,85.192032,248.194061,213.742889,85.271614,255.423126,261.396423,85.416763,264.111359,212.327377,84.715546,311.596497,211.360870,85.526855,320.885651,261.068268,86.775360,288.160767,261.227570,85.758980,313.260742,173.776779,86.504913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.040000,327.019562,213.176208,86.295349,261.601013,175.116531,85.249557,248.192719,213.746124,85.274445,255.416092,261.404846,85.425087,264.157043,212.745193,84.842819,311.500031,211.517654,85.647812,320.888580,261.066040,86.776840,288.159119,261.228851,85.756256,313.267090,173.775986,86.502663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.045000,327.027832,213.175079,86.277374,261.677521,175.061600,85.200714,248.190628,213.744095,85.277061,255.422836,261.403809,85.425064,264.078186,212.818039,84.919159,311.603455,211.356094,85.520164,320.883423,261.075562,86.777672,288.152740,261.231964,85.757782,313.266144,173.773224,86.504005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.050000,327.080688,213.117264,86.347237,261.676453,175.043564,85.193329,248.187958,213.747452,85.278328,255.427719,261.406708,85.416939,264.047729,212.235107,84.752220,311.616241,211.297226,85.476974,320.881500,261.075745,86.776306,288.156281,261.234894,85.760765,313.264801,173.774841,86.500534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.055000,327.036896,213.180847,86.307449,261.678589,175.040909,85.190712,248.188477,213.739456,85.275574,255.423660,261.401886,85.419357,264.114105,212.628693,84.846710,311.614777,211.297028,85.481949,320.888824,261.072571,86.775711,288.157501,261.236511,85.759277,313.268646,173.772003,86.501106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.060000,327.028168,213.171677,86.286446,261.669800,175.036713,85.193161,248.188782,213.744217,85.274574,255.426849,261.412354,85.420677,264.117432,212.325500,84.718513,311.613892,211.303726,85.488655,320.889069,261.065277,86.774956,288.155670,261.236938,85.755165,313.270538,173.769760,86.493416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.065000,327.025085,213.167542,86.288216,261.674011,175.035660,85.187439,248.191193,213.744858,85.271065,255.420181,261.398590,85.417389,264.134125,212.260498,84.709961,311.562958,211.393280,85.502106,320.888336,261.064941,86.773102,288.158173,261.229523,85.756889,313.276886,173.764008,86.488754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.070000,327.018036,213.157318,86.282188,261.674164,175.039459,85.187935,248.189850,213.742798,85.275581,255.422379,261.402618,85.421150,264.063995,212.176392,84.727150,311.611847,211.296692,85.492172,320.884949,261.071533,86.770111,288.158936,261.226349,85.757668,313.287415,173.754562,86.489838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.075000,327.025513,213.155884,86.283897,261.680023,175.047394,85.191200,248.192780,213.741623,85.271851,255.416992,261.397217,85.419632,264.129028,212.263489,84.714348,311.626007,211.297409,85.481812,320.882050,261.075439,86.779083,288.156616,261.235016,85.762695,313.280548,173.760757,86.489876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
