time_s,arduino_ms,force_N,rx_ohm,state,step,target_strain_pct,raw_line
0.0005181,5126736,0.028,5.549,DONE,8,5,"DATA,5126736,0.028,5.549,DONE,8,5.000"
0.1289443,5126836,0.028,5.549,DONE,8,5,"DATA,5126836,0.028,5.549,DONE,8,5.000"
0.448628,5126936,0.028,5.525,DONE,8,5,"DATA,5126936,0.028,5.525,DONE,8,5.000"
0.4499773,5127036,0.028,5.524,DONE,8,5,"DATA,5127036,0.028,5.524,DONE,8,5.000"
0.4507609,5127136,0.028,5.509,DONE,8,5,"DATA,5127136,0.028,5.509,DONE,8,5.000"
0.4942325,5127236,0.027,5.481,DONE,8,5,"DATA,5127236,0.027,5.481,DONE,8,5.000"
0.589879,5127336,0.027,5.5,DONE,8,5,"DATA,5127336,0.027,5.500,DONE,8,5.000"
0.7006765,5127436,0.027,5.479,DONE,8,5,"DATA,5127436,0.027,5.479,DONE,8,5.000"
0.7959515,5127536,0.028,5.513,DONE,8,5,"DATA,5127536,0.028,5.513,DONE,8,5.000"
0.891746,5127636,0.027,5.491,DONE,8,5,"DATA,5127636,0.027,5.491,DONE,8,5.000"
0.9880262,5127736,0.028,5.513,DONE,8,5,"DATA,5127736,0.028,5.513,DONE,8,5.000"
1.0964723,5127836,0.028,5.495,DONE,8,5,"DATA,5127836,0.028,5.495,DONE,8,5.000"
1.2037212,5127936,0.027,5.501,DONE,8,5,"DATA,5127936,0.027,5.501,DONE,8,5.000"
1.2896565,5128036,0.027,5.527,DONE,8,5,"DATA,5128036,0.027,5.527,DONE,8,5.000"
1.400062,5128136,0.027,5.506,DONE,8,5,"DATA,5128136,0.027,5.506,DONE,8,5.000"
1.4952954,5128236,0.027,5.518,DONE,8,5,"DATA,5128236,0.027,5.518,DONE,8,5.000"
1.5907247,5128336,0.027,5.537,DONE,8,5,"DATA,5128336,0.027,5.537,DONE,8,5.000"
1.7017859,5128436,0.028,5.551,DONE,8,5,"DATA,5128436,0.028,5.551,DONE,8,5.000"
1.7976166,5128536,0.028,5.545,DONE,8,5,"DATA,5128536,0.028,5.545,DONE,8,5.000"
1.8921027,5128636,0.028,5.554,DONE,8,5,"DATA,5128636,0.028,5.554,DONE,8,5.000"
1.9874565,5128736,0.028,5.573,DONE,8,5,"DATA,5128736,0.028,5.573,DONE,8,5.000"
2.0976852,5128836,0.027,5.574,DONE,8,5,"DATA,5128836,0.027,5.574,DONE,8,5.000"
2.1936816,5128936,0.027,5.591,DONE,8,5,"DATA,5128936,0.027,5.591,DONE,8,5.000"
2.2898444,5129036,0.027,5.588,DONE,8,5,"DATA,5129036,0.027,5.588,DONE,8,5.000"
2.401728,5129136,0.027,5.627,DONE,8,5,"DATA,5129136,0.027,5.627,DONE,8,5.000"
2.4960739,5129236,0.027,5.631,DONE,8,5,"DATA,5129236,0.027,5.631,DONE,8,5.000"
2.591447,5129336,0.027,5.627,DONE,8,5,"DATA,5129336,0.027,5.627,DONE,8,5.000"
2.6876185,5129436,0.028,5.735,DONE,8,5,"DATA,5129436,0.028,5.735,DONE,8,5.000"
2.7997284,5129536,0.027,5.678,DONE,8,5,"DATA,5129536,0.027,5.678,DONE,8,5.000"
2.8942467,5129636,0.027,5.689,DONE,8,5,"DATA,5129636,0.027,5.689,DONE,8,5.000"
2.9902039,5129736,0.027,5.694,DONE,8,5,"DATA,5129736,0.027,5.694,DONE,8,5.000"
3.1016055,5129836,0.027,5.698,DONE,8,5,"DATA,5129836,0.027,5.698,DONE,8,5.000"
3.1964383,5129936,0.027,5.709,DONE,8,5,"DATA,5129936,0.027,5.709,DONE,8,5.000"
3.2920221,5130036,0.027,5.735,DONE,8,5,"DATA,5130036,0.027,5.735,DONE,8,5.000"
3.4026171,5130136,0.027,5.742,DONE,8,5,"DATA,5130136,0.027,5.742,DONE,8,5.000"
3.4979838,5130236,0.027,5.739,DONE,8,5,"DATA,5130236,0.027,5.739,DONE,8,5.000"
3.593416,5130336,0.027,5.75,DONE,8,5,"DATA,5130336,0.027,5.750,DONE,8,5.000"
4.5417812,5131275,-0,5.777,DONE,8,5,"DATA,5131275,-0.000,5.777,DONE,8,5.000"
4.6370744,5131375,0,5.796,DONE,8,5,"DATA,5131375,0.000,5.796,DONE,8,5.000"
4.731803,5131475,-0,5.774,DONE,8,5,"DATA,5131475,-0.000,5.774,DONE,8,5.000"
4.8426625,5131575,-0,5.783,DONE,8,5,"DATA,5131575,-0.000,5.783,DONE,8,5.000"
4.9378715,5131675,-0,5.772,DONE,8,5,"DATA,5131675,-0.000,5.772,DONE,8,5.000"
5.0326812,5131775,-0,5.767,DONE,8,5,"DATA,5131775,-0.000,5.767,DONE,8,5.000"
5.1428073,5131875,-0,5.774,DONE,8,5,"DATA,5131875,-0.000,5.774,DONE,8,5.000"
5.2387751,5131975,-0,5.789,DONE,8,5,"DATA,5131975,-0.000,5.789,DONE,8,5.000"
5.3346201,5132075,0,5.763,DONE,8,5,"DATA,5132075,0.000,5.763,DONE,8,5.000"
5.4291929,5132175,-0,5.726,DONE,8,5,"DATA,5132175,-0.000,5.726,DONE,8,5.000"
5.5400633,5132275,-0,5.746,DONE,8,5,"DATA,5132275,-0.000,5.746,DONE,8,5.000"
5.6359179,5132375,-0,5.736,DONE,8,5,"DATA,5132375,-0.000,5.736,DONE,8,5.000"
5.7315295,5132475,-0,5.741,DONE,8,5,"DATA,5132475,-0.000,5.741,DONE,8,5.000"
5.8425986,5132575,-0,5.73,DONE,8,5,"DATA,5132575,-0.000,5.730,DONE,8,5.000"
5.9382157,5132675,-0,5.719,DONE,8,5,"DATA,5132675,-0.000,5.719,DONE,8,5.000"
6.0332152,5132775,-0,5.689,DONE,8,5,"DATA,5132775,-0.000,5.689,DONE,8,5.000"
6.1459832,5132875,-0,5.651,DONE,8,5,"DATA,5132875,-0.000,5.651,DONE,8,5.000"
6.2398348,5132975,-0,5.652,DONE,8,5,"DATA,5132975,-0.000,5.652,DONE,8,5.000"
6.3361159,5133075,-0,5.637,DONE,8,5,"DATA,5133075,-0.000,5.637,DONE,8,5.000"
6.4302846,5133175,-0,5.628,DONE,8,5,"DATA,5133175,-0.000,5.628,DONE,8,5.000"
6.5574385,5133275,-0,5.618,DONE,8,5,"DATA,5133275,-0.000,5.618,DONE,8,5.000"
6.637405,5133375,0,5.603,DONE,8,5,"DATA,5133375,0.000,5.603,DONE,8,5.000"
6.7334774,5133475,-0,5.589,DONE,8,5,"DATA,5133475,-0.000,5.589,DONE,8,5.000"
6.845022,5133575,-0,5.567,DONE,8,5,"DATA,5133575,-0.000,5.567,DONE,8,5.000"
6.9407546,5133675,-0,5.583,DONE,8,5,"DATA,5133675,-0.000,5.583,DONE,8,5.000"
7.0359075,5133775,-0,5.551,DONE,8,5,"DATA,5133775,-0.000,5.551,DONE,8,5.000"
7.1313106,5133875,-0,5.544,DONE,8,5,"DATA,5133875,-0.000,5.544,DONE,8,5.000"
7.2423207,5133975,-0,5.542,DONE,8,5,"DATA,5133975,-0.000,5.542,DONE,8,5.000"
7.3376887,5134075,-0,5.532,DONE,8,5,"DATA,5134075,-0.000,5.532,DONE,8,5.000"
7.4305707,5134175,-0,5.506,DONE,8,5,"DATA,5134175,-0.000,5.506,DONE,8,5.000"
7.5416955,5134275,-0,5.501,DONE,8,5,"DATA,5134275,-0.000,5.501,DONE,8,5.000"
7.6367771,5134375,-0,5.48,DONE,8,5,"DATA,5134375,-0.000,5.480,DONE,8,5.000"
7.7311099,5134475,-0,4.55,PRELOAD,-1,0,"DATA,5134475,-0.000,4.550,PRELOAD,-1,0.000"
7.842105,5134575,-0,5.242,PRELOAD,-1,0,"DATA,5134575,-0.000,5.242,PRELOAD,-1,0.000"
7.9366279,5134675,-0,5.373,PRELOAD,-1,0,"DATA,5134675,-0.000,5.373,PRELOAD,-1,0.000"
8.0318266,5134775,-0,5.245,PRELOAD,-1,0,"DATA,5134775,-0.000,5.245,PRELOAD,-1,0.000"
8.1427032,5134875,-0,5.144,PRELOAD,-1,0,"DATA,5134875,-0.000,5.144,PRELOAD,-1,0.000"
8.2373593,5134975,-0,5.175,PRELOAD,-1,0,"DATA,5134975,-0.000,5.175,PRELOAD,-1,0.000"
8.3328878,5135075,-0,5.235,PRELOAD,-1,0,"DATA,5135075,-0.000,5.235,PRELOAD,-1,0.000"
8.4445265,5135175,-0,5.355,PRELOAD,-1,0,"DATA,5135175,-0.000,5.355,PRELOAD,-1,0.000"
8.5397108,5135275,-0.001,5.438,PRELOAD,-1,0,"DATA,5135275,-0.001,5.438,PRELOAD,-1,0.000"
8.6355615,5135375,-0,4.998,PRELOAD,-1,0,"DATA,5135375,-0.000,4.998,PRELOAD,-1,0.000"
8.7470637,5135475,-0,5.206,PRELOAD,-1,0,"DATA,5135475,-0.000,5.206,PRELOAD,-1,0.000"
8.8414968,5135575,-0,5.261,PRELOAD,-1,0,"DATA,5135575,-0.000,5.261,PRELOAD,-1,0.000"
8.9364257,5135675,-0,5.231,PRELOAD,-1,0,"DATA,5135675,-0.000,5.231,PRELOAD,-1,0.000"
9.0462689,5135775,-0,5.455,PRELOAD,-1,0,"DATA,5135775,-0.000,5.455,PRELOAD,-1,0.000"
9.1418771,5135875,-0,5.097,PRELOAD,-1,0,"DATA,5135875,-0.000,5.097,PRELOAD,-1,0.000"
9.2369913,5135975,-0,5.216,PRELOAD,-1,0,"DATA,5135975,-0.000,5.216,PRELOAD,-1,0.000"
9.3462498,5136075,-0,5.269,PRELOAD,-1,0,"DATA,5136075,-0.000,5.269,PRELOAD,-1,0.000"
9.4396609,5136175,-0,5.296,PRELOAD,-1,0,"DATA,5136175,-0.000,5.296,PRELOAD,-1,0.000"
9.5350675,5136275,-0,5.477,PRELOAD,-1,0,"DATA,5136275,-0.000,5.477,PRELOAD,-1,0.000"
9.6449794,5136375,0.001,5.384,PRELOAD,-1,0,"DATA,5136375,0.001,5.384,PRELOAD,-1,0.000"
9.739117,5136475,0.004,5.327,PRELOAD,-1,0,"DATA,5136475,0.004,5.327,PRELOAD,-1,0.000"
9.8327657,5136575,0.007,5.222,PRELOAD,-1,0,"DATA,5136575,0.007,5.222,PRELOAD,-1,0.000"
9.9446421,5136675,0.01,5.402,PRELOAD,-1,0,"DATA,5136675,0.010,5.402,PRELOAD,-1,0.000"
10.0403115,5136775,0.014,5.371,PRELOAD,-1,0,"DATA,5136775,0.014,5.371,PRELOAD,-1,0.000"
10.1345866,5136875,0.018,5.432,PRELOAD,-1,0,"DATA,5136875,0.018,5.432,PRELOAD,-1,0.000"
10.2470381,5136975,0.022,5.469,PRELOAD,-1,0,"DATA,5136975,0.022,5.469,PRELOAD,-1,0.000"
10.3419942,5137075,0.025,5.211,PRELOAD,-1,0,"DATA,5137075,0.025,5.211,PRELOAD,-1,0.000"
10.4379037,5137175,0.029,5.364,PRELOAD,-1,0,"DATA,5137175,0.029,5.364,PRELOAD,-1,0.000"
10.5333655,5137275,0.033,5.369,PRELOAD,-1,0,"DATA,5137275,0.033,5.369,PRELOAD,-1,0.000"
10.6426181,5137375,0.041,5.412,PRELOAD,-1,0,"DATA,5137375,0.041,5.412,PRELOAD,-1,0.000"
10.7378719,5137475,0.046,5.461,PRELOAD,-1,0,"DATA,5137475,0.046,5.461,PRELOAD,-1,0.000"
10.8336691,5137575,0.05,5.181,PRELOAD,-1,0,"DATA,5137575,0.050,5.181,PRELOAD,-1,0.000"
10.945466,5137675,0.054,5.25,PRELOAD,-1,0,"DATA,5137675,0.054,5.250,PRELOAD,-1,0.000"
