time_s,arduino_ms,force_N,rx_ohm,state,step,target_strain_pct,raw_line
0.000536,3199044,0.021,3.604,DONE,8,5,"DATA,3199044,0.021,3.604,DONE,8,5.000"
0.0461538,3199144,0.021,3.58,DONE,8,5,"DATA,3199144,0.021,3.580,DONE,8,5.000"
0.4474102,3199244,0.021,3.612,DONE,8,5,"DATA,3199244,0.021,3.612,DONE,8,5.000"
0.4490031,3199344,0.02,3.627,DONE,8,5,"DATA,3199344,0.020,3.627,DONE,8,5.000"
0.4500114,3199444,0.021,3.627,DONE,8,5,"DATA,3199444,0.021,3.627,DONE,8,5.000"
0.4518631,3199544,0.021,3.606,DONE,8,5,"DATA,3199544,0.021,3.606,DONE,8,5.000"
0.5317959,3199644,0.021,3.6,DONE,8,5,"DATA,3199644,0.021,3.600,DONE,8,5.000"
0.6272773,3199744,0.02,3.607,DONE,8,5,"DATA,3199744,0.020,3.607,DONE,8,5.000"
0.738306,3199844,0.021,3.602,DONE,8,5,"DATA,3199844,0.021,3.602,DONE,8,5.000"
0.8331425,3199944,0.021,3.59,DONE,8,5,"DATA,3199944,0.021,3.590,DONE,8,5.000"
0.9292605,3200044,0.021,3.618,DONE,8,5,"DATA,3200044,0.021,3.618,DONE,8,5.000"
1.0403674,3200144,0.021,3.604,DONE,8,5,"DATA,3200144,0.021,3.604,DONE,8,5.000"
1.1351451,3200244,0.021,3.564,DONE,8,5,"DATA,3200244,0.021,3.564,DONE,8,5.000"
1.230639,3200344,0.02,3.598,DONE,8,5,"DATA,3200344,0.020,3.598,DONE,8,5.000"
1.3255684,3200444,0.021,3.606,DONE,8,5,"DATA,3200444,0.021,3.606,DONE,8,5.000"
1.4356126,3200544,0.021,3.588,DONE,8,5,"DATA,3200544,0.021,3.588,DONE,8,5.000"
1.5312101,3200644,0.021,3.605,DONE,8,5,"DATA,3200644,0.021,3.605,DONE,8,5.000"
1.6273994,3200744,0.021,3.592,DONE,8,5,"DATA,3200744,0.021,3.592,DONE,8,5.000"
1.7368197,3200844,0.021,3.578,DONE,8,5,"DATA,3200844,0.021,3.578,DONE,8,5.000"
1.8317438,3200944,0.02,3.602,DONE,8,5,"DATA,3200944,0.020,3.602,DONE,8,5.000"
1.9256201,3201044,0.021,3.609,DONE,8,5,"DATA,3201044,0.021,3.609,DONE,8,5.000"
2.0366371,3201144,0.021,3.602,DONE,8,5,"DATA,3201144,0.021,3.602,DONE,8,5.000"
2.1321366,3201244,0.021,3.601,DONE,8,5,"DATA,3201244,0.021,3.601,DONE,8,5.000"
2.2281467,3201344,0.021,3.602,DONE,8,5,"DATA,3201344,0.021,3.602,DONE,8,5.000"
2.3392913,3201444,0.021,3.602,DONE,8,5,"DATA,3201444,0.021,3.602,DONE,8,5.000"
2.4345443,3201544,0.021,3.6,DONE,8,5,"DATA,3201544,0.021,3.600,DONE,8,5.000"
2.5294449,3201644,0.021,3.595,DONE,8,5,"DATA,3201644,0.021,3.595,DONE,8,5.000"
2.6405024,3201744,0.021,3.595,DONE,8,5,"DATA,3201744,0.021,3.595,DONE,8,5.000"
2.7359659,3201844,0.021,3.617,DONE,8,5,"DATA,3201844,0.021,3.617,DONE,8,5.000"
2.8304474,3201944,0.021,3.583,DONE,8,5,"DATA,3201944,0.021,3.583,DONE,8,5.000"
2.94148,3202044,0.021,3.61,DONE,8,5,"DATA,3202044,0.021,3.610,DONE,8,5.000"
3.0363844,3202144,0.021,3.593,DONE,8,5,"DATA,3202144,0.021,3.593,DONE,8,5.000"
3.1325302,3202244,0.021,3.592,DONE,8,5,"DATA,3202244,0.021,3.592,DONE,8,5.000"
3.2413857,3202344,0.021,3.596,DONE,8,5,"DATA,3202344,0.021,3.596,DONE,8,5.000"
