time_s,arduino_ms,force_N,rx_ohm,state,cycle,target_force_N,measure_needed,measure_ready,hold_elapsed_s,raw_line
0.036132,1663756,-0,6.878,DONE,20,0,0,0,0,"DATA,1663756,-0.000,6.878,DONE,20,0.000,0,0,0.00"
0.0830816,1663856,-0,6.86,DONE,20,0,0,0,0,"DATA,1663856,-0.000,6.860,DONE,20,0.000,0,0,0.00"
0.2307259,1663956,-0,6.882,DONE,20,0,0,0,0,"DATA,1663956,-0.000,6.882,DONE,20,0.000,0,0,0.00"
0.2802579,1664056,-0,6.859,DONE,20,0,0,0,0,"DATA,1664056,-0.000,6.859,DONE,20,0.000,0,0,0.00"
0.3925844,1664156,-0,6.865,DONE,20,0,0,0,0,"DATA,1664156,-0.000,6.865,DONE,20,0.000,0,0,0.00"
0.4877627,1664256,-0,6.856,DONE,20,0,0,0,0,"DATA,1664256,-0.000,6.856,DONE,20,0.000,0,0,0.00"
0.5839714,1664356,-0,6.86,DONE,20,0,0,0,0,"DATA,1664356,-0.000,6.860,DONE,20,0.000,0,0,0.00"
0.6794597,1664456,-0,6.853,DONE,20,0,0,0,0,"DATA,1664456,-0.000,6.853,DONE,20,0.000,0,0,0.00"
0.7919122,1664556,-0,6.855,DONE,20,0,0,0,0,"DATA,1664556,-0.000,6.855,DONE,20,0.000,0,0,0.00"
0.8879378,1664656,-0,6.848,DONE,20,0,0,0,0,"DATA,1664656,-0.000,6.848,DONE,20,0.000,0,0,0.00"
0.9833211,1664756,-0,6.83,DONE,20,0,0,0,0,"DATA,1664756,-0.000,6.830,DONE,20,0.000,0,0,0.00"
1.0792462,1664856,-0,6.87,DONE,20,0,0,0,0,"DATA,1664856,-0.000,6.870,DONE,20,0.000,0,0,0.00"
1.1898906,1664956,-0,6.857,DONE,20,0,0,0,0,"DATA,1664956,-0.000,6.857,DONE,20,0.000,0,0,0.00"
