time_s,arduino_ms,force_N,rx_ohm,state,cycle,target_force_N,measure_needed,measure_ready,hold_elapsed_s,raw_line
0.0407645,2238109,-0.026,6.28,DONE,20,0,0,0,0,"DATA,2238109,-0.026,6.280,DONE,20,0.000,0,0,0.00"
0.4252827,2238209,-0.026,6.305,DONE,20,0,0,0,0,"DATA,2238209,-0.026,6.305,DONE,20,0.000,0,0,0.00"
0.427935,2238309,-0.026,6.293,DONE,20,0,0,0,0,"DATA,2238309,-0.026,6.293,DONE,20,0.000,0,0,0.00"
0.4289537,2238409,-0.026,6.059,DONE,20,0,0,0,0,"DATA,2238409,-0.026,6.059,DONE,20,0.000,0,0,0.00"
0.4331139,2238509,-0.026,6.299,DONE,20,0,0,0,0,"DATA,2238509,-0.026,6.299,DONE,20,0.000,0,0,0.00"
0.5291095,2238609,-0.026,6.319,DONE,20,0,0,0,0,"DATA,2238609,-0.026,6.319,DONE,20,0.000,0,0,0.00"
0.6401791,2238709,-0.026,6.317,DONE,20,0,0,0,0,"DATA,2238709,-0.026,6.317,DONE,20,0.000,0,0,0.00"
0.7350557,2238809,-0.026,6.325,DONE,20,0,0,0,0,"DATA,2238809,-0.026,6.325,DONE,20,0.000,0,0,0.00"
0.830086,2238909,-0.026,6.324,DONE,20,0,0,0,0,"DATA,2238909,-0.026,6.324,DONE,20,0.000,0,0,0.00"
0.9401108,2239009,-0.026,6.316,DONE,20,0,0,0,0,"DATA,2239009,-0.026,6.316,DONE,20,0.000,0,0,0.00"
1.0349514,2239109,-0.026,6.317,DONE,20,0,0,0,0,"DATA,2239109,-0.026,6.317,DONE,20,0.000,0,0,0.00"
1.1296145,2239209,-0.026,6.314,DONE,20,0,0,0,0,"DATA,2239209,-0.026,6.314,DONE,20,0.000,0,0,0.00"
1.240753,2239309,-0.026,6.311,DONE,20,0,0,0,0,"DATA,2239309,-0.026,6.311,DONE,20,0.000,0,0,0.00"
1.3358653,2239409,-0.026,6.32,DONE,20,0,0,0,0,"DATA,2239409,-0.026,6.320,DONE,20,0.000,0,0,0.00"
1.4319022,2239509,-0.026,6.322,DONE,20,0,0,0,0,"DATA,2239509,-0.026,6.322,DONE,20,0.000,0,0,0.00"
1.5420787,2239609,-0.026,6.308,DONE,20,0,0,0,0,"DATA,2239609,-0.026,6.308,DONE,20,0.000,0,0,0.00"
1.6367942,2239709,-0.026,6.319,DONE,20,0,0,0,0,"DATA,2239709,-0.026,6.319,DONE,20,0.000,0,0,0.00"
1.73252,2239809,-0.026,6.303,DONE,20,0,0,0,0,"DATA,2239809,-0.026,6.303,DONE,20,0.000,0,0,0.00"
1.8277328,2239909,-0.026,6.332,DONE,20,0,0,0,0,"DATA,2239909,-0.026,6.332,DONE,20,0.000,0,0,0.00"
1.9384745,2240009,-0.026,6.357,DONE,20,0,0,0,0,"DATA,2240009,-0.026,6.357,DONE,20,0.000,0,0,0.00"
2.0335995,2240109,-0.026,6.336,DONE,20,0,0,0,0,"DATA,2240109,-0.026,6.336,DONE,20,0.000,0,0,0.00"
