time_s,arduino_ms,force_N,rx_ohm,state,step,target_strain_pct,raw_line
0.0323728,8636645,-0.033,5.288,DONE,8,5,"DATA,8636645,-0.033,5.288,DONE,8,5.000"
0.3024166,8636745,-0.034,5.339,DONE,8,5,"DATA,8636745,-0.034,5.339,DONE,8,5.000"
0.3039382,8636845,-0.034,5.326,DONE,8,5,"DATA,8636845,-0.034,5.326,DONE,8,5.000"
0.30504,8636945,-0.034,5.323,DONE,8,5,"DATA,8636945,-0.034,5.323,DONE,8,5.000"
0.4119081,8637045,-0.034,5.321,DONE,8,5,"DATA,8637045,-0.034,5.321,DONE,8,5.000"
0.5065032,8637145,-0.033,5.309,DONE,8,5,"DATA,8637145,-0.033,5.309,DONE,8,5.000"
0.6018179,8637245,-0.033,5.316,DONE,8,5,"DATA,8637245,-0.033,5.316,DONE,8,5.000"
0.7135905,8637345,-0.034,5.301,DONE,8,5,"DATA,8637345,-0.034,5.301,DONE,8,5.000"
0.8097945,8637445,-0.034,5.332,DONE,8,5,"DATA,8637445,-0.034,5.332,DONE,8,5.000"
0.9056364,8637545,-0.033,5.286,DONE,8,5,"DATA,8637545,-0.033,5.286,DONE,8,5.000"
1.0007043,8637645,-0.034,5.3,DONE,8,5,"DATA,8637645,-0.034,5.300,DONE,8,5.000"
1.1106501,8637745,-0.034,5.297,DONE,8,5,"DATA,8637745,-0.034,5.297,DONE,8,5.000"
1.206193,8637845,-0.034,5.283,DONE,8,5,"DATA,8637845,-0.034,5.283,DONE,8,5.000"
1.2998228,8637945,-0.033,5.261,DONE,8,5,"DATA,8637945,-0.033,5.261,DONE,8,5.000"
1.4105073,8638045,-0.033,5.242,DONE,8,5,"DATA,8638045,-0.033,5.242,DONE,8,5.000"
1.5051901,8638145,-0.034,5.248,DONE,8,5,"DATA,8638145,-0.034,5.248,DONE,8,5.000"
1.6016658,8638245,-0.034,5.247,DONE,8,5,"DATA,8638245,-0.034,5.247,DONE,8,5.000"
1.7124823,8638345,-0.034,5.211,DONE,8,5,"DATA,8638345,-0.034,5.211,DONE,8,5.000"
1.8075129,8638445,-0.033,5.218,DONE,8,5,"DATA,8638445,-0.033,5.218,DONE,8,5.000"
1.9027228,8638545,-0.034,5.194,DONE,8,5,"DATA,8638545,-0.034,5.194,DONE,8,5.000"
2.0136925,8638645,-0.034,5.18,DONE,8,5,"DATA,8638645,-0.034,5.180,DONE,8,5.000"
2.108585,8638745,-0.034,5.164,DONE,8,5,"DATA,8638745,-0.034,5.164,DONE,8,5.000"
2.2038947,8638845,-0.033,5.144,DONE,8,5,"DATA,8638845,-0.033,5.144,DONE,8,5.000"
2.3145913,8638945,-0.034,5.128,DONE,8,5,"DATA,8638945,-0.034,5.128,DONE,8,5.000"
2.4095196,8639045,-0.034,5.135,DONE,8,5,"DATA,8639045,-0.034,5.135,DONE,8,5.000"
3.3726459,8640009,0.002,5.087,DONE,8,5,"DATA,8640009,0.002,5.087,DONE,8,5.000"
3.4680618,8640109,0.002,5.119,DONE,8,5,"DATA,8640109,0.002,5.119,DONE,8,5.000"
3.578542,8640209,0.002,5.11,DONE,8,5,"DATA,8640209,0.002,5.110,DONE,8,5.000"
3.6721941,8640309,0.002,5.149,DONE,8,5,"DATA,8640309,0.002,5.149,DONE,8,5.000"
3.7662678,8640409,0.002,5.141,DONE,8,5,"DATA,8640409,0.002,5.141,DONE,8,5.000"
3.8794303,8640509,0.002,5.133,DONE,8,5,"DATA,8640509,0.002,5.133,DONE,8,5.000"
3.9736836,8640609,0.002,5.17,DONE,8,5,"DATA,8640609,0.002,5.170,DONE,8,5.000"
4.0674038,8640709,0.002,5.159,DONE,8,5,"DATA,8640709,0.002,5.159,DONE,8,5.000"
4.1774753,8640809,0.002,5.185,DONE,8,5,"DATA,8640809,0.002,5.185,DONE,8,5.000"
4.2713579,8640909,0.001,5.216,DONE,8,5,"DATA,8640909,0.001,5.216,DONE,8,5.000"
4.3669996,8641009,0.001,5.214,DONE,8,5,"DATA,8641009,0.001,5.214,DONE,8,5.000"
4.4804919,8641109,0.001,5.229,DONE,8,5,"DATA,8641109,0.001,5.229,DONE,8,5.000"
4.5732828,8641209,0.001,5.23,DONE,8,5,"DATA,8641209,0.001,5.230,DONE,8,5.000"
4.6676451,8641309,0.001,5.242,DONE,8,5,"DATA,8641309,0.001,5.242,DONE,8,5.000"
4.7778203,8641409,0.001,5.1,PRELOAD,-1,0,"DATA,8641409,0.001,5.100,PRELOAD,-1,0.000"
4.8732673,8641509,0.001,5.153,PRELOAD,-1,0,"DATA,8641509,0.001,5.153,PRELOAD,-1,0.000"
4.9685533,8641609,0.001,4.817,PRELOAD,-1,0,"DATA,8641609,0.001,4.817,PRELOAD,-1,0.000"
5.0803468,8641709,0.001,4.996,PRELOAD,-1,0,"DATA,8641709,0.001,4.996,PRELOAD,-1,0.000"
5.1764348,8641809,0.001,5.039,PRELOAD,-1,0,"DATA,8641809,0.001,5.039,PRELOAD,-1,0.000"
5.2700884,8641909,0,5.117,PRELOAD,-1,0,"DATA,8641909,0.000,5.117,PRELOAD,-1,0.000"
5.3803985,8642009,0,5.148,PRELOAD,-1,0,"DATA,8642009,0.000,5.148,PRELOAD,-1,0.000"
5.4748323,8642109,0,5.207,PRELOAD,-1,0,"DATA,8642109,0.000,5.207,PRELOAD,-1,0.000"
5.5682209,8642209,0,5.058,PRELOAD,-1,0,"DATA,8642209,0.000,5.058,PRELOAD,-1,0.000"
5.679046,8642309,0.001,5.003,PRELOAD,-1,0,"DATA,8642309,0.001,5.003,PRELOAD,-1,0.000"
5.7910312,8642409,0.002,5.025,PRELOAD,-1,0,"DATA,8642409,0.002,5.025,PRELOAD,-1,0.000"
5.8709667,8642509,0.004,5.107,PRELOAD,-1,0,"DATA,8642509,0.004,5.107,PRELOAD,-1,0.000"
5.9814973,8642609,0.005,5.24,PRELOAD,-1,0,"DATA,8642609,0.005,5.240,PRELOAD,-1,0.000"
6.0777856,8642709,0.007,5.136,PRELOAD,-1,0,"DATA,8642709,0.007,5.136,PRELOAD,-1,0.000"
6.1708312,8642809,0.009,4.923,PRELOAD,-1,0,"DATA,8642809,0.009,4.923,PRELOAD,-1,0.000"
6.279816,8642909,0.011,4.957,PRELOAD,-1,0,"DATA,8642909,0.011,4.957,PRELOAD,-1,0.000"
6.3757595,8643009,0.015,4.951,PRELOAD,-1,0,"DATA,8643009,0.015,4.951,PRELOAD,-1,0.000"
6.4709088,8643109,0.017,5.012,PRELOAD,-1,0,"DATA,8643109,0.017,5.012,PRELOAD,-1,0.000"
6.5807841,8643209,0.019,4.693,PRELOAD,-1,0,"DATA,8643209,0.019,4.693,PRELOAD,-1,0.000"
6.6760911,8643309,0.021,4.826,PRELOAD,-1,0,"DATA,8643309,0.021,4.826,PRELOAD,-1,0.000"
6.7713081,8643409,0.022,4.863,PRELOAD,-1,0,"DATA,8643409,0.022,4.863,PRELOAD,-1,0.000"
6.8820857,8643509,0.024,4.893,PRELOAD,-1,0,"DATA,8643509,0.024,4.893,PRELOAD,-1,0.000"
6.9771942,8643609,0.026,4.961,PRELOAD,-1,0,"DATA,8643609,0.026,4.961,PRELOAD,-1,0.000"
7.072751,8643709,0.028,5.038,PRELOAD,-1,0,"DATA,8643709,0.028,5.038,PRELOAD,-1,0.000"
7.1683641,8643809,0.03,4.627,PRELOAD,-1,0,"DATA,8643809,0.030,4.627,PRELOAD,-1,0.000"
7.2770128,8643909,0.033,4.641,PRELOAD,-1,0,"DATA,8643909,0.033,4.641,PRELOAD,-1,0.000"
7.3716798,8644009,0.036,4.777,PRELOAD,-1,0,"DATA,8644009,0.036,4.777,PRELOAD,-1,0.000"
7.4685508,8644109,0.042,4.847,PRELOAD,-1,0,"DATA,8644109,0.042,4.847,PRELOAD,-1,0.000"
7.5792653,8644209,0.045,3.787,PRELOAD,-1,0,"DATA,8644209,0.045,3.787,PRELOAD,-1,0.000"
7.6746046,8644309,0.048,4.875,PRELOAD,-1,0,"DATA,8644309,0.048,4.875,PRELOAD,-1,0.000"
7.769539,8644409,0.05,4.66,PRELOAD,-1,0,"DATA,8644409,0.050,4.660,PRELOAD,-1,0.000"
7.880859,8644509,0.054,4.593,PRELOAD,-1,0,"DATA,8644509,0.054,4.593,PRELOAD,-1,0.000"
7.976856,8644609,0.058,4.693,PRELOAD,-1,0,"DATA,8644609,0.058,4.693,PRELOAD,-1,0.000"
8.0729712,8644709,0.062,4.791,PRELOAD,-1,0,"DATA,8644709,0.062,4.791,PRELOAD,-1,0.000"
8.2001528,8644809,0.066,4.753,PRELOAD,-1,0,"DATA,8644809,0.066,4.753,PRELOAD,-1,0.000"
8.2787883,8644909,0.069,4.571,PRELOAD,-1,0,"DATA,8644909,0.069,4.571,PRELOAD,-1,0.000"
8.3786702,8645009,0.073,4.611,PRELOAD,-1,0,"DATA,8645009,0.073,4.611,PRELOAD,-1,0.000"
8.4737149,8645109,0.082,4.695,PRELOAD,-1,0,"DATA,8645109,0.082,4.695,PRELOAD,-1,0.000"
8.5846893,8645209,0.086,4.688,PRELOAD,-1,0,"DATA,8645209,0.086,4.688,PRELOAD,-1,0.000"
8.6803102,8645309,0.09,4.35,PRELOAD,-1,0,"DATA,8645309,0.090,4.350,PRELOAD,-1,0.000"
8.7754519,8645409,0.093,4.374,PRELOAD,-1,0,"DATA,8645409,0.093,4.374,PRELOAD,-1,0.000"
8.8716196,8645509,0.097,4.511,PRELOAD,-1,0,"DATA,8645509,0.097,4.511,PRELOAD,-1,0.000"
8.9832911,8645609,0.095,4.638,PRELOAD,-1,0,"DATA,8645609,0.095,4.638,PRELOAD,-1,0.000"
9.0783869,8645709,0.088,4.659,PRELOAD,-1,0,"DATA,8645709,0.088,4.659,PRELOAD,-1,0.000"
9.173874,8645809,0.092,4.684,PRELOAD,-1,0,"DATA,8645809,0.092,4.684,PRELOAD,-1,0.000"
9.2842797,8645909,0.099,4.372,PRELOAD,-1,0,"DATA,8645909,0.099,4.372,PRELOAD,-1,0.000"
9.378334,8646009,0.104,4.305,PRELOAD,-1,0,"DATA,8646009,0.104,4.305,PRELOAD,-1,0.000"
9.4714151,8646109,0.115,4.706,PRELOAD_HOLD,-1,0,"DATA,8646109,0.115,4.706,PRELOAD_HOLD,-1,0.000"
9.5833025,8646209,0.12,4.78,PRELOAD_HOLD,-1,0,"DATA,8646209,0.120,4.780,PRELOAD_HOLD,-1,0.000"
9.6783926,8646309,0.123,4.76,PRELOAD_HOLD,-1,0,"DATA,8646309,0.123,4.760,PRELOAD_HOLD,-1,0.000"
9.7726157,8646409,0.122,4.699,PRELOAD_HOLD,-1,0,"DATA,8646409,0.122,4.699,PRELOAD_HOLD,-1,0.000"
9.8842494,8646509,0.121,4.732,PRELOAD_HOLD,-1,0,"DATA,8646509,0.121,4.732,PRELOAD_HOLD,-1,0.000"
9.9784552,8646609,0.12,4.665,PRELOAD_HOLD,-1,0,"DATA,8646609,0.120,4.665,PRELOAD_HOLD,-1,0.000"
10.0735322,8646709,0.12,4.773,PRELOAD_HOLD,-1,0,"DATA,8646709,0.120,4.773,PRELOAD_HOLD,-1,0.000"
10.1839657,8646809,0.119,4.778,PRELOAD_HOLD,-1,0,"DATA,8646809,0.119,4.778,PRELOAD_HOLD,-1,0.000"
10.2799648,8646909,0.118,4.721,PRELOAD_HOLD,-1,0,"DATA,8646909,0.118,4.721,PRELOAD_HOLD,-1,0.000"
10.375803,8647009,0.118,4.768,PRELOAD_HOLD,-1,0,"DATA,8647009,0.118,4.768,PRELOAD_HOLD,-1,0.000"
10.485614,8647109,0.117,4.754,PRELOAD_HOLD,-1,0,"DATA,8647109,0.117,4.754,PRELOAD_HOLD,-1,0.000"
