time_s,arduino_ms,force_N,rx_ohm,state,step,target_strain_pct,raw_line
0.0004838,7451059,-0.007,4.884,DONE,8,5,"DATA,7451059,-0.007,4.884,DONE,8,5.000"
0.0527624,7451159,-0.007,4.888,DONE,8,5,"DATA,7451159,-0.007,4.888,DONE,8,5.000"
0.3704498,7451259,-0.007,4.907,DONE,8,5,"DATA,7451259,-0.007,4.907,DONE,8,5.000"
0.371718,7451359,-0.007,4.907,DONE,8,5,"DATA,7451359,-0.007,4.907,DONE,8,5.000"
0.3727163,7451459,-0.007,4.908,DONE,8,5,"DATA,7451459,-0.007,4.908,DONE,8,5.000"
0.4539258,7451559,-0.007,4.907,DONE,8,5,"DATA,7451559,-0.007,4.907,DONE,8,5.000"
0.565251,7451659,-0.007,4.905,DONE,8,5,"DATA,7451659,-0.007,4.905,DONE,8,5.000"
0.6609771,7451759,-0.007,4.92,DONE,8,5,"DATA,7451759,-0.007,4.920,DONE,8,5.000"
0.7556787,7451859,-0.007,4.92,DONE,8,5,"DATA,7451859,-0.007,4.920,DONE,8,5.000"
0.8669918,7451959,-0.007,4.923,DONE,8,5,"DATA,7451959,-0.007,4.923,DONE,8,5.000"
0.9621014,7452059,-0.007,4.956,DONE,8,5,"DATA,7452059,-0.007,4.956,DONE,8,5.000"
1.0578132,7452159,-0.006,4.925,DONE,8,5,"DATA,7452159,-0.006,4.925,DONE,8,5.000"
1.168756,7452259,-0.006,4.928,DONE,8,5,"DATA,7452259,-0.006,4.928,DONE,8,5.000"
1.2635314,7452359,-0.007,4.955,DONE,8,5,"DATA,7452359,-0.007,4.955,DONE,8,5.000"
1.3585195,7452459,-0.007,4.938,DONE,8,5,"DATA,7452459,-0.007,4.938,DONE,8,5.000"
1.4684228,7452559,-0.007,4.934,DONE,8,5,"DATA,7452559,-0.007,4.934,DONE,8,5.000"
1.5635845,7452659,-0.007,4.967,DONE,8,5,"DATA,7452659,-0.007,4.967,DONE,8,5.000"
1.6582497,7452759,-0.007,4.955,DONE,8,5,"DATA,7452759,-0.007,4.955,DONE,8,5.000"
1.7534601,7452859,-0.007,4.952,DONE,8,5,"DATA,7452859,-0.007,4.952,DONE,8,5.000"
1.8645815,7452959,-0.006,4.962,DONE,8,5,"DATA,7452959,-0.006,4.962,DONE,8,5.000"
1.9599568,7453059,-0.007,4.939,DONE,8,5,"DATA,7453059,-0.007,4.939,DONE,8,5.000"
2.055075,7453159,-0.007,4.954,DONE,8,5,"DATA,7453159,-0.007,4.954,DONE,8,5.000"
2.1666104,7453259,-0.007,4.932,DONE,8,5,"DATA,7453259,-0.007,4.932,DONE,8,5.000"
2.2627957,7453359,-0.007,4.934,DONE,8,5,"DATA,7453359,-0.007,4.934,DONE,8,5.000"
2.3575952,7453459,-0.006,4.931,DONE,8,5,"DATA,7453459,-0.006,4.931,DONE,8,5.000"
2.468906,7453559,-0.006,4.946,DONE,8,5,"DATA,7453559,-0.006,4.946,DONE,8,5.000"
2.5644013,7453659,-0.006,4.955,DONE,8,5,"DATA,7453659,-0.006,4.955,DONE,8,5.000"
2.6591683,7453759,-0.006,4.95,DONE,8,5,"DATA,7453759,-0.006,4.950,DONE,8,5.000"
2.7700141,7453859,-0.007,4.932,DONE,8,5,"DATA,7453859,-0.007,4.932,DONE,8,5.000"
2.866204,7453959,-0.007,4.936,DONE,8,5,"DATA,7453959,-0.007,4.936,DONE,8,5.000"
2.9609311,7454059,-0.007,4.929,DONE,8,5,"DATA,7454059,-0.007,4.929,DONE,8,5.000"
3.0568351,7454159,-0.007,4.934,DONE,8,5,"DATA,7454159,-0.007,4.934,DONE,8,5.000"
3.166834,7454259,-0.007,4.929,DONE,8,5,"DATA,7454259,-0.007,4.929,DONE,8,5.000"
4.1656258,7455259,0,4.891,DONE,8,5,"DATA,7455259,0.000,4.891,DONE,8,5.000"
4.2607945,7455359,-0,4.893,DONE,8,5,"DATA,7455359,-0.000,4.893,DONE,8,5.000"
4.3559796,7455459,-0,4.881,DONE,8,5,"DATA,7455459,-0.000,4.881,DONE,8,5.000"
4.4674957,7455559,0,4.89,DONE,8,5,"DATA,7455559,0.000,4.890,DONE,8,5.000"
4.5636543,7455659,0,4.87,DONE,8,5,"DATA,7455659,0.000,4.870,DONE,8,5.000"
4.6584783,7455759,-0,4.871,DONE,8,5,"DATA,7455759,-0.000,4.871,DONE,8,5.000"
4.7674113,7455859,-0,4.857,DONE,8,5,"DATA,7455859,-0.000,4.857,DONE,8,5.000"
4.8623695,7455959,0,4.852,DONE,8,5,"DATA,7455959,0.000,4.852,DONE,8,5.000"
4.9580496,7456059,-0,4.863,DONE,8,5,"DATA,7456059,-0.000,4.863,DONE,8,5.000"
5.0693921,7456159,0,4.861,DONE,8,5,"DATA,7456159,0.000,4.861,DONE,8,5.000"
5.1652995,7456259,0,4.846,DONE,8,5,"DATA,7456259,0.000,4.846,DONE,8,5.000"
5.2606981,7456359,0,4.83,DONE,8,5,"DATA,7456359,0.000,4.830,DONE,8,5.000"
5.371061,7456459,0,4.82,DONE,8,5,"DATA,7456459,0.000,4.820,DONE,8,5.000"
5.4655007,7456559,0,4.827,DONE,8,5,"DATA,7456559,0.000,4.827,DONE,8,5.000"
5.5607237,7456659,0,4.858,PRELOAD,-1,0,"DATA,7456659,0.000,4.858,PRELOAD,-1,0.000"
5.6569294,7456759,0,4.734,PRELOAD,-1,0,"DATA,7456759,0.000,4.734,PRELOAD,-1,0.000"
5.767768,7456859,-0,4.378,PRELOAD,-1,0,"DATA,7456859,-0.000,4.378,PRELOAD,-1,0.000"
5.8624311,7456959,0,4.54,PRELOAD,-1,0,"DATA,7456959,0.000,4.540,PRELOAD,-1,0.000"
5.9567779,7457059,0.001,4.671,PRELOAD,-1,0,"DATA,7457059,0.001,4.671,PRELOAD,-1,0.000"
6.0675589,7457159,0.003,4.691,PRELOAD,-1,0,"DATA,7457159,0.003,4.691,PRELOAD,-1,0.000"
6.1639247,7457259,0.005,4.583,PRELOAD,-1,0,"DATA,7457259,0.005,4.583,PRELOAD,-1,0.000"
6.2596276,7457359,0.007,4.434,PRELOAD,-1,0,"DATA,7457359,0.007,4.434,PRELOAD,-1,0.000"
6.3709226,7457459,0.008,4.496,PRELOAD,-1,0,"DATA,7457459,0.008,4.496,PRELOAD,-1,0.000"
6.4661543,7457559,0.009,4.568,PRELOAD,-1,0,"DATA,7457559,0.009,4.568,PRELOAD,-1,0.000"
6.5607468,7457659,0.01,4.581,PRELOAD,-1,0,"DATA,7457659,0.010,4.581,PRELOAD,-1,0.000"
6.67083,7457759,0.012,4.308,PRELOAD,-1,0,"DATA,7457759,0.012,4.308,PRELOAD,-1,0.000"
6.765725,7457859,0.014,4.454,PRELOAD,-1,0,"DATA,7457859,0.014,4.454,PRELOAD,-1,0.000"
6.8600965,7457959,0.016,4.572,PRELOAD,-1,0,"DATA,7457959,0.016,4.572,PRELOAD,-1,0.000"
6.9715087,7458059,0.018,4.637,PRELOAD,-1,0,"DATA,7458059,0.018,4.637,PRELOAD,-1,0.000"
7.0667508,7458159,0.019,4.539,PRELOAD,-1,0,"DATA,7458159,0.019,4.539,PRELOAD,-1,0.000"
7.1629449,7458259,0.023,4.368,PRELOAD,-1,0,"DATA,7458259,0.023,4.368,PRELOAD,-1,0.000"
7.2594038,7458359,0.025,4.336,PRELOAD,-1,0,"DATA,7458359,0.025,4.336,PRELOAD,-1,0.000"
7.3698528,7458459,0.026,4.425,PRELOAD,-1,0,"DATA,7458459,0.026,4.425,PRELOAD,-1,0.000"
7.4654116,7458559,0.026,4.518,PRELOAD,-1,0,"DATA,7458559,0.026,4.518,PRELOAD,-1,0.000"
7.5605284,7458659,0.027,4.544,PRELOAD,-1,0,"DATA,7458659,0.027,4.544,PRELOAD,-1,0.000"
7.6712428,7458759,0.03,4.442,PRELOAD,-1,0,"DATA,7458759,0.030,4.442,PRELOAD,-1,0.000"
7.7661063,7458859,0.032,4.427,PRELOAD,-1,0,"DATA,7458859,0.032,4.427,PRELOAD,-1,0.000"
7.862,7458959,0.034,4.484,PRELOAD,-1,0,"DATA,7458959,0.034,4.484,PRELOAD,-1,0.000"
7.9743635,7459059,0.036,4.435,PRELOAD,-1,0,"DATA,7459059,0.036,4.435,PRELOAD,-1,0.000"
8.068205,7459159,0.039,4.189,PRELOAD,-1,0,"DATA,7459159,0.039,4.189,PRELOAD,-1,0.000"
8.1627476,7459259,0.041,4.344,PRELOAD,-1,0,"DATA,7459259,0.041,4.344,PRELOAD,-1,0.000"
8.2729211,7459359,0.045,4.435,PRELOAD,-1,0,"DATA,7459359,0.045,4.435,PRELOAD,-1,0.000"
8.3688898,7459459,0.047,4.437,PRELOAD,-1,0,"DATA,7459459,0.047,4.437,PRELOAD,-1,0.000"
8.4639523,7459559,0.05,4.253,PRELOAD,-1,0,"DATA,7459559,0.050,4.253,PRELOAD,-1,0.000"
8.5597745,7459659,0.053,4.342,PRELOAD,-1,0,"DATA,7459659,0.053,4.342,PRELOAD,-1,0.000"
8.671101,7459759,0.056,4.315,PRELOAD,-1,0,"DATA,7459759,0.056,4.315,PRELOAD,-1,0.000"
8.7666711,7459859,0.059,4.387,PRELOAD,-1,0,"DATA,7459859,0.059,4.387,PRELOAD,-1,0.000"
8.8621073,7459959,0.062,4.146,PRELOAD,-1,0,"DATA,7459959,0.062,4.146,PRELOAD,-1,0.000"
8.9745577,7460059,0.065,4.123,PRELOAD,-1,0,"DATA,7460059,0.065,4.123,PRELOAD,-1,0.000"
9.0702466,7460159,0.068,4.172,PRELOAD,-1,0,"DATA,7460159,0.068,4.172,PRELOAD,-1,0.000"
9.1662108,7460259,0.071,4.362,PRELOAD,-1,0,"DATA,7460259,0.071,4.362,PRELOAD,-1,0.000"
9.2784341,7460359,0.078,4.287,PRELOAD,-1,0,"DATA,7460359,0.078,4.287,PRELOAD,-1,0.000"
9.3744942,7460459,0.082,4.237,PRELOAD,-1,0,"DATA,7460459,0.082,4.237,PRELOAD,-1,0.000"
9.4694247,7460559,0.085,4.203,PRELOAD,-1,0,"DATA,7460559,0.085,4.203,PRELOAD,-1,0.000"
9.5659492,7460659,0.089,4.201,PRELOAD,-1,0,"DATA,7460659,0.089,4.201,PRELOAD,-1,0.000"
9.6605038,7460759,0.092,4.21,PRELOAD,-1,0,"DATA,7460759,0.092,4.210,PRELOAD,-1,0.000"
9.7722069,7460859,0.095,3.973,PRELOAD,-1,0,"DATA,7460859,0.095,3.973,PRELOAD,-1,0.000"
9.8688847,7460959,0.098,4.209,PRELOAD,-1,0,"DATA,7460959,0.098,4.209,PRELOAD,-1,0.000"
9.9623056,7461059,0.102,4.134,PRELOAD,-1,0,"DATA,7461059,0.102,4.134,PRELOAD,-1,0.000"
10.0747107,7461159,0.106,4.406,PRELOAD_HOLD,-1,0,"DATA,7461159,0.106,4.406,PRELOAD_HOLD,-1,0.000"
10.1700843,7461259,0.111,4.374,PRELOAD_HOLD,-1,0,"DATA,7461259,0.111,4.374,PRELOAD_HOLD,-1,0.000"
10.265474,7461359,0.116,4.379,PRELOAD_HOLD,-1,0,"DATA,7461359,0.116,4.379,PRELOAD_HOLD,-1,0.000"
10.3608891,7461459,0.116,4.413,PRELOAD_HOLD,-1,0,"DATA,7461459,0.116,4.413,PRELOAD_HOLD,-1,0.000"
10.4724749,7461559,0.115,4.325,PRELOAD_HOLD,-1,0,"DATA,7461559,0.115,4.325,PRELOAD_HOLD,-1,0.000"
10.5673268,7461659,0.114,4.398,PRELOAD_HOLD,-1,0,"DATA,7461659,0.114,4.398,PRELOAD_HOLD,-1,0.000"
10.6628941,7461759,0.113,4.404,PRELOAD_HOLD,-1,0,"DATA,7461759,0.113,4.404,PRELOAD_HOLD,-1,0.000"
10.7752668,7461859,0.113,4.385,PRELOAD_HOLD,-1,0,"DATA,7461859,0.113,4.385,PRELOAD_HOLD,-1,0.000"
10.8702137,7461959,0.113,4.395,PRELOAD_HOLD,-1,0,"DATA,7461959,0.113,4.395,PRELOAD_HOLD,-1,0.000"
10.9654092,7462059,0.112,4.394,PRELOAD_HOLD,-1,0,"DATA,7462059,0.112,4.394,PRELOAD_HOLD,-1,0.000"
11.0750931,7462159,0.112,4.386,PRELOAD_HOLD,-1,0,"DATA,7462159,0.112,4.386,PRELOAD_HOLD,-1,0.000"
11.1694849,7462259,0.112,4.395,PRELOAD_HOLD,-1,0,"DATA,7462259,0.112,4.395,PRELOAD_HOLD,-1,0.000"
11.2651661,7462359,0.111,4.406,PRELOAD_HOLD,-1,0,"DATA,7462359,0.111,4.406,PRELOAD_HOLD,-1,0.000"
11.3765681,7462459,0.11,4.386,PRELOAD_HOLD,-1,0,"DATA,7462459,0.110,4.386,PRELOAD_HOLD,-1,0.000"
11.4722132,7462559,0.11,4.391,PRELOAD_HOLD,-1,0,"DATA,7462559,0.110,4.391,PRELOAD_HOLD,-1,0.000"
11.5677749,7462659,0.11,4.398,PRELOAD_HOLD,-1,0,"DATA,7462659,0.110,4.398,PRELOAD_HOLD,-1,0.000"
11.6636908,7462759,0.11,4.402,PRELOAD_HOLD,-1,0,"DATA,7462759,0.110,4.402,PRELOAD_HOLD,-1,0.000"
11.775687,7462859,0.11,4.412,PRELOAD_HOLD,-1,0,"DATA,7462859,0.110,4.412,PRELOAD_HOLD,-1,0.000"
11.8719238,7462959,0.109,4.395,PRELOAD_HOLD,-1,0,"DATA,7462959,0.109,4.395,PRELOAD_HOLD,-1,0.000"
11.9662582,7463059,0.109,4.408,PRELOAD_HOLD,-1,0,"DATA,7463059,0.109,4.408,PRELOAD_HOLD,-1,0.000"
12.0772258,7463159,0.109,4.439,PRELOAD_HOLD,-1,0,"DATA,7463159,0.109,4.439,PRELOAD_HOLD,-1,0.000"
12.1734394,7463259,0.109,4.394,PRELOAD_HOLD,-1,0,"DATA,7463259,0.109,4.394,PRELOAD_HOLD,-1,0.000"
12.2695255,7463359,0.109,4.45,PRELOAD_HOLD,-1,0,"DATA,7463359,0.109,4.450,PRELOAD_HOLD,-1,0.000"
12.3653686,7463459,0.108,4.432,PRELOAD_HOLD,-1,0,"DATA,7463459,0.108,4.432,PRELOAD_HOLD,-1,0.000"
12.4768797,7463559,0.108,4.418,PRELOAD_HOLD,-1,0,"DATA,7463559,0.108,4.418,PRELOAD_HOLD,-1,0.000"
12.5727158,7463659,0.108,4.434,PRELOAD_HOLD,-1,0,"DATA,7463659,0.108,4.434,PRELOAD_HOLD,-1,0.000"
12.6678611,7463759,0.108,4.446,PRELOAD_HOLD,-1,0,"DATA,7463759,0.108,4.446,PRELOAD_HOLD,-1,0.000"
