time_s,arduino_ms,force_N,rx_ohm,state,step,target_strain_pct,raw_line
0.0004726,2018244,0.003,4.346,DONE,8,5,"DATA,2018244,0.003,4.346,DONE,8,5.000"
0.0451515,2018344,0.003,4.389,DONE,8,5,"DATA,2018344,0.003,4.389,DONE,8,5.000"
0.3935777,2018444,0.003,4.37,DONE,8,5,"DATA,2018444,0.003,4.370,DONE,8,5.000"
0.3965979,2018544,0.003,4.368,DONE,8,5,"DATA,2018544,0.003,4.368,DONE,8,5.000"
0.3976776,2018644,0.003,4.377,DONE,8,5,"DATA,2018644,0.003,4.377,DONE,8,5.000"
0.4172044,2018744,0.003,4.345,DONE,8,5,"DATA,2018744,0.003,4.345,DONE,8,5.000"
0.5295699,2018844,0.003,4.349,DONE,8,5,"DATA,2018844,0.003,4.349,DONE,8,5.000"
0.6235811,2018944,0.003,4.369,DONE,8,5,"DATA,2018944,0.003,4.369,DONE,8,5.000"
0.7202884,2019044,0.003,4.347,DONE,8,5,"DATA,2019044,0.003,4.347,DONE,8,5.000"
0.8301738,2019144,0.003,4.338,DONE,8,5,"DATA,2019144,0.003,4.338,DONE,8,5.000"
0.924939,2019244,0.003,4.34,DONE,8,5,"DATA,2019244,0.003,4.340,DONE,8,5.000"
1.0205927,2019344,0.003,4.338,DONE,8,5,"DATA,2019344,0.003,4.338,DONE,8,5.000"
1.1313397,2019444,0.003,4.324,DONE,8,5,"DATA,2019444,0.003,4.324,DONE,8,5.000"
1.2270442,2019544,0.003,4.333,DONE,8,5,"DATA,2019544,0.003,4.333,DONE,8,5.000"
1.3226632,2019644,0.003,4.324,DONE,8,5,"DATA,2019644,0.003,4.324,DONE,8,5.000"
1.4185737,2019744,0.003,4.326,DONE,8,5,"DATA,2019744,0.003,4.326,DONE,8,5.000"
1.5293639,2019844,0.003,4.321,DONE,8,5,"DATA,2019844,0.003,4.321,DONE,8,5.000"
1.6251511,2019944,0.003,4.306,DONE,8,5,"DATA,2019944,0.003,4.306,DONE,8,5.000"
1.7202611,2020044,0.003,4.31,DONE,8,5,"DATA,2020044,0.003,4.310,DONE,8,5.000"
1.8332653,2020144,0.003,4.305,DONE,8,5,"DATA,2020144,0.003,4.305,DONE,8,5.000"
1.9278399,2020244,0.003,4.326,DONE,8,5,"DATA,2020244,0.003,4.326,DONE,8,5.000"
2.0229638,2020344,0.003,4.336,DONE,8,5,"DATA,2020344,0.003,4.336,DONE,8,5.000"
2.1182758,2020444,0.003,4.322,DONE,8,5,"DATA,2020444,0.003,4.322,DONE,8,5.000"
