time_s,arduino_ms,force_N,rx_ohm,state,cycle,target_force_N,measure_needed,measure_ready,hold_elapsed_s,raw_line
0.0005259,839909,-0.009,5.556,DONE,20,0,0,0,0,"DATA,839909,-0.009,5.556,DONE,20,0.000,0,0,0.00"
0.0694637,840009,-0.008,5.557,DONE,20,0,0,0,0,"DATA,840009,-0.008,5.557,DONE,20,0.000,0,0,0.00"
0.3417798,840109,-0.009,5.543,DONE,20,0,0,0,0,"DATA,840109,-0.009,5.543,DONE,20,0.000,0,0,0.00"
0.3429604,840209,-0.009,5.55,DONE,20,0,0,0,0,"DATA,840209,-0.009,5.550,DONE,20,0.000,0,0,0.00"
0.3711764,840309,-0.009,5.534,DONE,20,0,0,0,0,"DATA,840309,-0.009,5.534,DONE,20,0.000,0,0,0.00"
0.4816133,840409,-0.009,5.531,DONE,20,0,0,0,0,"DATA,840409,-0.009,5.531,DONE,20,0.000,0,0,0.00"
0.5750428,840509,-0.008,5.505,DONE,20,0,0,0,0,"DATA,840509,-0.008,5.505,DONE,20,0.000,0,0,0.00"
0.6706658,840609,-0.008,5.518,DONE,20,0,0,0,0,"DATA,840609,-0.008,5.518,DONE,20,0.000,0,0,0.00"
0.7823749,840709,-0.008,5.505,DONE,20,0,0,0,0,"DATA,840709,-0.008,5.505,DONE,20,0.000,0,0,0.00"
0.8770004,840809,-0.008,5.517,DONE,20,0,0,0,0,"DATA,840809,-0.008,5.517,DONE,20,0.000,0,0,0.00"
0.9712439,840909,-0.008,5.495,DONE,20,0,0,0,0,"DATA,840909,-0.008,5.495,DONE,20,0.000,0,0,0.00"
1.081659,841009,-0.008,5.497,DONE,20,0,0,0,0,"DATA,841009,-0.008,5.497,DONE,20,0.000,0,0,0.00"
1.1763102,841109,-0.008,5.494,DONE,20,0,0,0,0,"DATA,841109,-0.008,5.494,DONE,20,0.000,0,0,0.00"
1.2729742,841209,-0.008,5.472,DONE,20,0,0,0,0,"DATA,841209,-0.008,5.472,DONE,20,0.000,0,0,0.00"
1.3810527,841309,-0.008,5.48,DONE,20,0,0,0,0,"DATA,841309,-0.008,5.480,DONE,20,0.000,0,0,0.00"
