rawData = [
1,16.46,1.84
2,20.08,4.45
3,20.38,3.89
4,20.28,4.01
5,20.05,3.73
6,20.17,3.53
7,19.84,3.72
8,20.07,4.01
9,20.19,3.55
10,20.05,3.57
11,19.88,3.82
12,20.00,3.63
13,19.87,3.42
14,19.87,3.43
15,19.79,3.46
16,19.85,3.08
17,19.84,3.15
18,19.87,3.29
19,19.78,3.37
20,19.74,3.03
21,19.78,3.19
22,19.56,3.23
23,19.73,3.09
24,19.51,3.09
25,19.47,3.32
26,19.49,3.29
27,19.56,2.98
28,19.31,3.06
29,18.97,2.81
30,19.38,3.20
31,19.29,2.82
32,19.34,2.90
33,19.33,2.92
34,19.28,2.59
35,19.22,2.72
36,18.98,2.61
37,18.87,2.55
38,18.79,2.30
39,18.84,2.33
40,18.79,2.32
41,18.73,2.30
42,18.71,2.05
43,18.72,2.17
44,18.64,2.08
45,18.61,2.20
46,18.62,2.35
47,18.56,2.06
48,18.63,2.15
49,18.53,2.12
50,18.57,2.31
51,18.48,1.89
52,18.49,2.02
53,18.45,2.12
54,18.37,2.15
55,18.28,1.87
56,18.34,1.98
57,18.31,1.94
58,18.37,2.06
59,18.54,1.90
60,18.45,1.90
61,18.30,1.88
62,18.24,1.83
63,18.14,1.60
64,18.12,1.59
65,18.10,1.67
66,18.08,1.75
67,18.06,1.56
68,18.17,1.67
69,18.06,1.65
70,18.02,1.61
71,18.03,1.49
72,18.03,1.47
73,17.99,1.47
74,18.00,1.59
75,17.98,1.39
76,17.96,1.44
77,17.98,1.59
78,17.96,1.55
79,17.97,1.36
80,17.97,1.40
81,17.96,1.45
82,18.24,1.73
83,18.38,1.82
84,18.29,1.66
85,18.18,1.58
86,18.09,1.66
87,18.20,2.17
88,18.22,1.73
89,18.15,1.76
90,18.12,1.65
91,18.16,1.83
92,18.10,1.54
93,18.11,1.63
94,18.13,1.75
95,18.16,1.74
96,18.11,1.54
97,18.04,1.60
98,18.03,1.70
99,17.95,1.70
100,17.93,1.52
101,17.88,1.47
102,17.88,1.52
103,17.90,1.57
104,17.86,1.59
105,17.84,1.46
106,17.86,1.48
107,17.80,1.55
108,17.80,1.51
109,17.79,1.35
110,17.79,1.48
111,17.80,1.52
112,17.83,1.56
113,17.84,1.44
114,17.81,1.41
115,17.81,1.51
116,17.82,1.52
117,17.83,1.34
118,17.82,1.41
119,17.83,1.46
120,17.79,1.49
121,17.80,1.54
122,17.77,1.38
123,17.75,1.41
124,17.74,1.42
125,17.72,1.43
126,17.71,1.24
127,17.72,1.30
128,17.67,1.38
129,17.66,1.48
130,17.65,1.24
131,17.64,1.34
132,17.67,1.40
133,17.67,1.43
134,17.71,1.57
135,17.69,1.29
136,17.71,1.45
137,17.70,1.49
138,17.76,1.55
139,17.78,1.39
140,17.71,1.45
141,17.73,1.46
142,17.67,1.53
143,17.76,1.65
144,17.71,1.32
145,17.66,1.42
146,17.59,1.45
147,17.58,1.49
148,17.58,1.33
149,17.54,1.30
150,17.50,1.37
151,17.47,1.45
152,17.42,1.18
153,17.45,1.29
154,17.40,1.28
155,17.37,1.34
156,17.35,1.66
157,17.36,1.21
158,17.37,1.30
159,17.39,1.34
160,17.35,1.40
161,17.35,1.16
162,17.34,1.25
163,17.37,1.34
164,17.34,1.39
165,17.34,1.40
166,17.35,1.19
167,17.34,1.28
168,17.32,1.30
169,17.32,1.41
170,17.32,1.19
171,17.34,1.21
172,17.31,1.23
173,17.31,1.30
174,17.31,1.37
175,17.29,1.14
176,17.29,1.24
177,17.30,1.24
178,17.31,1.32
179,17.30,1.09
180,17.30,1.15
181,17.32,1.22
182,17.31,1.34
183,17.30,1.35
184,17.30,1.13
185,17.29,1.18
186,17.30,1.20
187,17.30,1.29
188,17.30,1.08
189,17.29,1.14
190,17.29,1.14
191,17.28,1.24
192,17.27,1.24
193,17.27,1.07
194,17.27,1.08
195,17.26,1.17
196,17.25,1.22
197,17.23,1.30
198,17.21,1.07
199,17.22,1.10
200,17.24,1.13
201,17.21,1.20
202,17.21,1.03
203,17.24,1.09
204,17.17,1.10
205,17.20,1.17
206,17.21,1.33
207,17.03,1.02
208,17.19,1.11
209,17.20,1.08
210,17.19,1.13
211,17.19,1.28
212,17.17,1.06
213,17.18,1.09
214,17.17,1.10
215,17.17,1.19
216,17.16,1.05
217,17.16,1.06
218,17.15,1.11
219,17.15,1.11
220,17.13,1.29
221,17.14,1.06
222,17.14,1.12
223,17.15,1.20
224,17.15,1.26
225,17.17,1.12
226,17.17,1.20
227,17.16,1.24
228,17.16,1.25
229,17.14,0.98
230,17.12,0.95
231,17.11,1.04
232,17.10,1.06
233,17.11,1.13
234,17.11,0.95
235,17.11,1.06
236,17.10,1.07
237,17.09,1.16
238,17.09,0.96
239,17.10,0.99
240,17.08,1.06
241,17.09,1.08
242,17.05,1.22
243,17.04,0.87
244,17.05,0.97
245,17.03,0.97
246,17.04,1.08
247,17.03,0.87
248,17.05,0.94
249,17.02,0.95
250,17.00,0.98
251,17.00,1.03
252,17.00,0.88
253,17.02,0.87
254,17.01,0.92
255,17.01,1.05
256,16.99,0.83
257,17.00,0.90
258,17.00,0.94
259,16.99,1.03
260,16.97,1.04
261,16.97,0.88
262,16.98,0.89
263,16.98,0.95
264,16.98,1.02
265,16.97,0.88
266,16.97,0.95
267,16.95,0.96
268,16.95,1.02
269,16.95,1.38
270,16.95,0.91
271,16.94,0.87
272,16.93,0.97
273,16.92,0.99
274,16.92,1.09
275,16.93,0.82
276,16.92,0.92
277,16.91,0.98
278,16.92,1.07
279,16.91,0.87
280,16.90,0.91
281,16.93,1.02
282,16.92,1.08
283,16.93,0.88
284,16.93,0.96
285,16.94,0.98
286,16.94,1.09
287,16.91,1.12
288,16.90,0.86
289,16.92,0.91
290,16.88,0.97
291,16.87,0.96
292,16.87,0.83
293,16.87,0.87
294,16.87,0.92
295,16.86,1.04
296,16.86,0.81
297,16.85,0.85
298,16.87,0.90
299,16.85,0.96
300,16.87,0.77
301,16.88,0.85
302,16.85,0.87
303,16.88,0.92
304,16.87,0.75
305,16.83,0.81
306,16.83,0.90
307,16.81,0.90
308,16.81,1.01
309,16.80,0.86
310,16.80,0.85
311,16.81,1.03
312,16.88,1.00
313,16.86,0.80
314,16.87,0.88
315,16.87,0.92
316,16.85,0.98
317,16.85,0.98
318,16.83,0.85
319,16.83,0.81
320,16.83,1.01
321,16.82,0.89
322,16.82,0.74
323,16.82,0.83
324,16.82,0.83
325,16.82,0.91
326,16.80,0.98
327,16.81,0.76
328,16.81,0.84
329,16.81,0.87
330,16.80,0.93
331,16.79,0.75
332,16.79,0.85
333,16.80,0.88
334,16.78,0.92
335,16.78,0.81
336,16.79,0.78
337,16.81,0.82
338,16.80,0.90
339,16.80,0.98
340,16.78,0.79
341,16.80,0.85
342,16.78,0.91
343,16.76,0.97
344,16.76,0.76
345,16.76,0.84
346,16.76,0.86
347,16.76,0.88
348,16.76,0.98
349,16.78,0.79
350,16.77,0.78
351,16.77,0.85
352,16.76,0.93
353,16.76,0.75
354,16.77,0.82
355,16.78,0.86
356,16.76,0.90
357,16.76,0.76
358,16.76,0.83
359,16.76,0.87
360,16.76,0.91
361,16.76,1.04
362,16.77,0.76
363,16.73,0.85
364,16.72,0.91
365,16.73,0.97
366,16.74,0.78
367,16.75,0.82
368,16.75,0.89
369,16.74,0.94
370,16.76,0.86
371,16.77,0.86
372,16.76,0.87
373,16.75,0.96
374,16.76,0.86
375,16.74,0.86
376,16.75,0.86
377,16.77,0.99
378,16.77,0.94
379,16.77,0.75
380,16.77,0.79
381,16.77,0.81
382,16.77,0.92
383,16.75,0.76
384,16.74,0.79
385,16.76,0.88
386,16.75,0.89
387,16.76,0.76
388,16.75,0.82
389,16.75,0.84
390,16.75,0.89
391,16.75,0.76
392,16.76,0.76
393,16.76,0.84
394,16.75,0.86
395,16.75,0.94
396,16.74,0.76
397,16.74,0.80
398,16.71,0.86
399,16.72,0.89
400,16.71,0.74
401,16.72,0.82
402,16.71,0.81
403,16.68,0.88
404,16.66,0.90
405,16.71,0.74
406,16.74,0.82
407,16.76,0.88
408,16.81,0.94
409,16.83,0.82
410,16.84,0.80
411,16.84,0.86
412,16.84,0.94
413,16.83,0.77
414,16.80,0.88
415,16.82,0.91
416,16.80,0.95
417,16.81,0.78
418,16.82,0.80
419,16.80,0.88
420,16.84,0.93
421,16.81,0.95
422,16.82,0.84
423,16.81,0.84
424,16.85,0.92
425,16.85,0.99
426,16.85,0.79
427,16.84,0.83
428,16.84,0.85
429,16.83,0.95
430,16.81,0.81
431,16.83,0.79
432,16.76,0.94
433,16.81,0.92
434,16.81,0.78
435,16.81,0.82
436,16.77,0.80
437,16.80,0.90
438,16.80,0.99
439,16.81,0.76
440,16.81,0.90
441,16.80,0.95
442,16.80,0.98
443,16.79,0.85
444,16.82,0.83
445,16.80,0.92
